124,4509,0.025
125,4552,0.018
128,4690,0.015
140,5259,0.033
149,5674,0.028
166,6486,0.013
174,6874,0.02
175,6924,0.018
182,7267,0.038
191,7697,0.023
192,7745,0.065
199,8091,0.038
220,9107,0.04
224,9298,0.05
244,10265,0.018
249,10515,0.03
256,10861,0.033
260,11053,0.045
274,11749,0.05
278,11973,0.025
288,12569,0.075
296,13055,0.075
299,13237,0.04
309,13828,0.033
319,14404,0.08500000000000001
324,14713,0.163
325,14775,0.18
329,15032,0.17
349,16426,0.638
350,16502,0.773
352,16653,0.32
363,17544,1.098
374,18446,0.22
379,18870,1.21
399,20528,0.973
402,20777,0.71
403,20859,1.735
417,22023,0.733
424,22629,1.213
433,23412,1.745
447,24619,1.573
449,24781,0.668
451,24941,0.45
460,25697,0.968
474,26849,1.48
475,26933,1.353
492,28420,0.51
499,29006,0.415
500,29085,0.365
502,29249,0.783
524,31130,0.708
549,33209,0.495
574,35185,0.09
575,35261,0.113
598,37066,0.49
599,37148,0.603
601,37313,0.293
624,39185,0.203
625,39263,0.22
649,41191,0.188
650,41268,0.21
674,43073,0.238
675,43150,0.185
698,45055,0.19
699,45139,0.468
700,45225,0.375
724,47295,0.28
749,49350,0.128
750,49430,0.208
774,51306,0.073
775,51384,0.15
777,51549,0.295
799,53355,0.19
800,53436,0.165
802,53606,0.155
823,55377,0.278
824,55457,0.205
848,57289,0.21
849,57362,0.145
873,59262,0.833
874,59345,0.468
898,61406,0.475
899,61496,0.378
923,63688,0.98
924,63776,0.708
948,66045,1.1
949,66144,0.748
955,66708,0.425
973,68424,1.285
974,68520,0.86
984,69413,0.328
993,70243,0.305
998,70683,0.16
999,70766,0.063
1005,71264,0.08500000000000001
1015,72070,0.098
1023,72753,0.155
1024,72840,0.053
1034,73706,0.19
1041,74322,0.205
1048,74903,0.063
1049,74985,0.103
1073,76854,0.073
1074,76933,0.075
1098,78937,0.178
1099,79020,0.233
1123,80869,0.28
1124,80943,0.193
1144,82352,0.078
1148,82647,0.188
1149,82721,0.223
1173,84378,0.068
1174,84448,0.058
1198,86016,0.065
1199,86083,0.078
1223,87766,0.09
1224,87837,0.09
1248,89597,0.19
1249,89672,0.208
1273,91480,0.113
1274,91547,0.12
1298,93254,0.27
1299,93325,0.238
1323,95000,0.07000000000000001
1324,95070,0.103
1348,96722,0.048
1349,96791,0.043
1350,96861,0.053
1373,98505,0.075
1374,98572,0.068
1375,98640,0.005
1398,100232,0.17
1399,100301,0.14
1423,101868,0.133
1424,101930,0.11
1448,103481,0.248
1449,103553,0.18
1450,103625,0.315
1451,103697,0.258
1473,105271,0.058
1474,105342,0.058
1475,105413,0.058
1498,107048,0.128
1499,107121,0.098
1500,107194,0.08500000000000001
1523,109121,0.093
1524,109206,0.05
1525,109292,0.065
1548,111159,0.07000000000000001
1549,111239,0.043
1550,111319,0.01
1573,113195,0.05
1574,113272,0.078
1575,113348,0.043
1582,113891,0.068
1591,114562,0.058
1598,115077,0.035
1599,115150,0.08
1606,115617,0.028
1616,116296,0.048
1623,116762,0.033
1624,116827,0.028
1625,116891,0.073
1632,117326,0.068
1635,117514,0.015
1643,118012,0.035
1648,118314,0.038
1649,118376,0.058
1655,118735,0.11
1665,119345,0.045
1673,119831,0.04
1674,119894,0.038
1675,119955,0.073
1682,120379,0.053
1692,120959,0.08500000000000001
1698,121314,0.02
1699,121373,0.013
1709,121951,0.018
1716,122345,0.213
1723,122742,0.055
1724,122801,0.053
1732,123268,0.06
1739,123658,0.04
1749,124209,0.12
1756,124599,0.048
1761,124877,0.043
1768,125271,0.028
1783,126103,0.078
1798,126904,0.048
1799,126955,0.06
1800,127006,0.26
1816,127810,0.043
1823,128161,0.028
1824,128210,0.038
1825,128259,0.045
1830,128501,0.018
1848,129428,0.135
1849,129486,0.115
1850,129545,0.02
1866,130410,0.035
1872,130759,0.015
1873,130819,0.113
1874,130880,0.038
1875,130942,0.14
1879,131190,0.045
1883,131439,0.033
1886,131641,0.023
1890,131908,0.02
1895,132264,0.03
1898,132477,0.048
1899,132548,0.045
1900,132619,0.078
1901,132691,0.055
1902,132763,0.038
1903,132836,0.055
1906,133065,0.025
1907,133142,0.06
1912,133528,0.06
1919,134091,0.105
1921,134266,0.095
1923,134447,0.5
1924,134538,0.12
1932,135308,0.298
1933,135408,0.095
1934,135507,0.105
1940,136103,0.16
1943,136411,0.123
1945,136614,0.245
1948,136923,0.883
1949,137026,0.86
1953,137446,0.158
1954,137549,0.183
1963,138532,0.288
1964,138644,0.235
1966,138868,0.553
1970,139308,0.338
1973,139643,0.848
1974,139756,0.498
1979,140319,0.405
1981,140542,0.553
1984,140876,0.6879999999999999
1989,141434,0.245
1990,141547,0.438
1991,141661,0.303
1996,142218,0.5649999999999999
1998,142440,1.01
1999,142551,0.753
2004,143117,0.625
2009,143675,0.74
2014,144237,0.46
2023,145226,0.973
2024,145337,0.673
2025,145449,0.738
2032,146242,0.528
2043,147459,0.423
2049,148141,0.77
2052,148471,0.158
2063,149679,0.265
2069,150333,0.55
2074,150868,0.418
2080,151502,0.325
2081,151611,0.318
2089,152513,0.313
2098,153523,0.871
2103,154094,0.305
2111,155029,1.177
2119,155983,1.228
2128,157080,0.671
2135,157909,0.715
2143,158815,0.426
2151,159651,0.13
2160,160626,0.237
2168,161545,0.728
2176,162440,0.238
2184,163318,0.22
2191,164136,0.36
2199,165148,0.618
2202,165522,0.092
2208,166284,0.271
2217,167414,0.115
2225,168391,0.154
2232,169201,0.073
2241,170221,0.151
2248,171040,0.284
2256,172004,0.307
2264,173027,0.025
2272,173988,0.105
2280,174920,0.142
2287,175746,0.232
2294,176630,0.391
2308,178417,0.341
2325,180546,0.202
2325,180546,0.067
2333,181502,0.138
2342,182694,0.236
2348,183525,0.5610000000000001
2356,184641,0.715
2364,185788,0.761
2373,187067,0.274
2387,189030,0.147
2398,190469,0.05
2400,190705,0.055
2404,191156,0.016
2410,191895,0.114
2414,192382,0.067
2420,193152,0.142
2425,193816,0.141
2430,194444,0.052
2434,194926,0.104
2440,195676,0.113
2444,196202,0.221
2451,197086,0.067
2454,197462,0.111
2459,198075,0.114
2462,198426,0.074
2471,199452,0.047
2473,199682,0.052
2475,199904,0.063
2477,200124,0.048
2479,200345,0.021
2491,201635,0.03
2502,202826,0.029
2505,203155,0.024
2505.41,203200,0.024
2508.41,203527,0.023
2509,203592,0.021
2512.41,203980,0.02
2515,204278,0.029
2515.41,204325,0.028
2521,204973,0.022
2524.41,205386,0.032
2525,205458,0.024
2527.41,205760,0.032
2531,206232,0.025
2531.41,206287,0.028
2534.41,206681,0.031
2537.41,207072,0.042
2540.41,207463,0.041
2543.41,207857,0.023
2545,208061,0.029
2546.41,208244,0.023
2549.41,208623,0.031
2555.41,209364,0.028
2559.41,209864,0.021
2564.41,210466,0.023
2568.41,210941,0.032
2569.41,211057,0.015
2574.41,211651,0.022
2576.41,211892,0.04
2579.41,212237,0.029
2583.41,212700,0.03
2585.41,212928,0.022
2597.41,214297,0.031
2600.41,214639,0.018
2603.41,214978,0.06
2607.41,215432,0.022
2612.41,216003,0.036
2612.41,216003,0.054
2615.41,216369,0.029
2619.41,216839,0.032
2629.41,217989,0.022
2634.41,218602,0.035
2637.41,219000,0.082
2640.41,219393,0.041
2642.41,219660,0.053
2646.41,220226,0.093
2651.41,220967,0.077
2653.41,221272,0.06900000000000001
2660.41,222426,0.119
2664.41,223135,0.138
